T,gamma,eta
175,30,212.99864283185377
175,32,204.84221271925819
175,34,197.46514594123786
175,36,190.75335379269822
175,38,184.61463219925548
175,40,178.9735697971802
175,42,173.76782877786584
175,44,168.94538236097603
175,46,164.46243164042502
175,48,160.28181318514066
175,50,156.37176664287568
175,52,152.70497015238175
175,54,149.25777754091735
175,56,146.00960935150556
175,58,142.9424624115504
175,60,140.0405116626259
177,30,206.86901061612528
177,32,198.947304613124
177,34,191.78253358299645
177,36,185.26389204251697
177,38,179.30182934765818
177,40,173.82310430778853
177,42,168.76717305925246
177,44,164.08350603796157
177,46,159.7295647739633
177,48,155.66925531794993
177,50,151.87173131072
177,52,148.3104571540674
177,54,144.9624671600663
177,56,141.80777410322446
177,58,138.82889290263535
177,60,136.01045391022993
179,30,200.9157757266922
179,32,193.22203898994513
179,34,186.2634543032642
179,36,179.93240492139228
179,38,174.14191727077193
179,40,168.8208578810633
179,42,163.91042520777404
179,44,159.36154381647475
179,46,155.13289940076797
179,48,151.18943671577864
179,50,147.50119709264263
179,52,144.04240856927592
179,54,140.7907663597129
179,56,137.72685842682705
179,58,134.83370287186273
179,60,132.0963723513998
181,30,195.1338618366839
181,32,187.66153391237762
181,34,180.90320197991272
181,36,174.75434626713908
181,38,169.13049610855214
181,40,163.96256509855206
181,42,159.19344387169824
181,44,154.77546927656877
181,46,150.66851594158797
181,48,146.83853743468575
181,50,143.2564372315607
181,52,139.89718503048388
181,54,136.73911792814582
181,56,133.76338252313036
181,58,130.9534856183576
181,60,128.294929446502
183,30,189.51833870474596
183,32,182.26104793449082
183,34,175.69720592265196
183,36,169.7253007461155
183,38,164.26329261924383
183,40,159.24408329115872
183,42,154.61220687828202
183,44,150.3213718698022
183,46,146.33260761403758
183,48,142.61284746031043
183,50,139.13383221825896
183,52,135.87125190315624
183,54,132.80406702237863
183,56,129.91396673391395
183,58,127.18493247859935
183,60,124.60288370294907
185,30,184.06441797102084
185,32,177.01597605873417
185,34,170.64102697560043
185,36,164.84098008826567
185,38,159.53615653558623
185,40,154.6613890066876
185,42,150.16280780406282
185,44,145.99545358471232
185,46,142.121477186551
185,48,138.50876354434115
185,50,135.12986670503238
185,52,131.96117627176164
185,54,128.98225822220348
185,56,126.17532866008399
185,58,123.52483000512251
185,60,121.01708691117699
187,30,178.76744907411032
187,32,171.92184580925272
187,34,165.73035373201384
187,36,160.09721943050909
187,38,154.94505702587708
187,40,150.2105745790431
187,42,145.84145264384873
187,44,141.7940257082483
187,46,138.03153382575076
187,48,134.52278613202336
187,50,131.241126508147
187,52,128.16362401252326
187,54,125.2704326690221
187,56,122.5442803627691
187,58,119.97005722640812
187,60,117.53448146016501
189,30,173.62291528553916
189,32,166.9743134182045
189,34,160.9609988579465
189,36,155.4899737653595
189,38,150.48607925688037
189,40,145.8878447961607
189,42,141.6444565755682
189,44,137.71350568040364
189,46,134.0592900345419
189,48,130.6515163780872
189,50,127.4642956965634
189,52,124.4753569504094
189,54,121.66542528701518
189,56,119.01772564496336
189,58,116.51758298562947
189,60,114.15209773020902
191,30,168.62642985833818
191,32,162.1691601218272
191,34,156.3288955217089
191,36,151.01531449174465
191,38,146.15542105564558
191,40,141.68951366382723
191,42,137.5682408182201
191,44,133.7504140393649
191,46,130.20135867832138
191,48,126.89165324855021
191,50,123.79615376444045
191,52,120.89323009793993
191,54,118.16416208428049
191,56,115.59265741139711
191,58,113.16446335598306
191,60,110.86705156072497
193,30,163.77373228646246
193,32,157.50228856309568
193,34,151.83009392607815
193,36,146.6694260650859
193,38,141.94938966739264
193,40,137.61200126263168
193,42,133.60932958024503
193,44,129.90137145457282
193,46,126.45445009676628
193,48,123.23999070592367
193,50,120.23357288500812
193,52,117.4141889734535
193,54,114.76365753163807
193,56,112.26615510438518
193,58,109.90783913040029
193,60,107.67654179092364
195,30,159.06068467185546
195,32,152.96971929790342
195,34,147.46075794030352
195,36,142.4486027437811
195,38,137.86439860669782
195,40,133.6518306953657
195,42,129.76434709571586
195,44,126.16309584516512
195,46,122.81536929873852
195,48,119.69341497542263
195,50,116.77351524346773
195,52,114.03526699654932
195,54,111.46101201686787
195,56,109.03538221346561
195,58,106.74493338350011
195,60,104.577847871259
197,30,154.48326819606075
197,32,148.56758740178813
197,34,143.21716182903546
197,36,138.34924542931648
197,38,133.89696459929544
197,40,129.80562512227138
197,42,126.03001474582015
197,44,122.53239958134405
197,46,119.28101323791408
197,48,116.24890188984821
197,50,113.41303044664545
197,52,110.75358295848221
197,54,108.25340937220857
197,56,105.89758385670547
197,58,103.67304910370298
197,60,101.56832754361417
199,30,150.03757969337332
199,32,144.2921391743083
199,34,139.09568707538895
199,36,134.36785859731344
199,38,130.04370461188788
199,40,126.07010488160786
199,42,122.40314826317989
199,44,119.00618676628288
199,46,115.84836816681361
199,48,112.90351431087858
199,50,110.14925300719037
199,52,107.56633856535436
199,54,105.13811447300981
199,56,102.85008443161149
199,58,100.6895668934876
199,60,98.6454145882463
201,30,145.71982832260778
201,32,140.13972893826076
201,34,135.09281929543195
201,36,130.50104731689257
201,38,126.30133296743107
201,40,122.442084693082
201,42,118.88065501662491
201,44,115.58145059625258
201,46,112.51450706697808
201,48,109.65439962456927
201,50,106.97939990017173
201,52,104.4708160520083
201,54,102.11247090548969
201,56,99.8902853336422
201,58,97.791942735829
201,60,95.80661663556947
203,30,141.52633233464599
203,32,136.1068159310096
203,34,131.20514524146827
203,36,126.74551435581442
203,38,122.66665854343589
203,40,118.91847094175796
203,42,115.45953137410451
203,44,112.25527079671879
203,46,109.27658715309859
203,48,106.49878730892773
203,50,103.90076818999196
203,52,101.4643758645872
203,54,99.1738987016093
203,56,97.01566274037636
203,58,94.97770582491394
203,60,93.04951304090977
205,30,137.4535159330073
205,32,132.18996128527576
205,34,127.42934989155926
205,36,123.09805736892747
205,38,119.13658205089605
205,40,115.49625904012997
205,42,112.1368601414886
205,44,109.02481113222183
205,46,106.13184744897157
205,48,103.43398657148754
205,50,100.91073272559194
205,52,98.54445440978556
205,54,96.3198921391324
205,56,94.22376545944809
205,58,92.24445645928316
205,60,90.37175282042016
